,V1_0,beta1,beta2,beta3,gamma12,gamma21,gamma23,gamma32
0,2.470451633467435,-4.8451590184148685,-6.857163390055625,-6.40798439073626,-0.19826061414301827,-4.868162420866505,-0.2174625246886583,-1.5583792613479652
1,3.148949722278288,-4.946523314861173,-4.179733883402793,-4.462995981888357,-1.5430847802297483,-4.091565539919927,-2.1564657765583495,-0.004345145814641029
2,2.413751805211885,-4.872752665055612,-6.22372551066489,-6.342439996174677,-0.42614491566464413,-4.663538007793924,-0.16571323889405964,-3.251768058669044
3,2.1003577437015353,-4.818823124093838,-6.886111758614383,-6.69173259569886,-0.15983915442012026,-2.973114827355728,-0.15067588165556953,-3.689904295926885
4,2.1280479568087722,-4.814774503399413,-6.523495237742366,-6.7616564205777046,-0.12400041347797419,-3.9667342618972827,-0.09293739191199268,-4.582950667279765
