gamma,cost_gamma12,cost_gamma21,cost_gamma23,cost_gamma32
-3.0,16.9936178826678,12.020224024022973,16.93494790030774,12.020225686577017
-2.9183673469387754,16.92477206401288,12.02024191940278,16.883051577758312,12.020266626356168
-2.836734693877551,16.85597442137672,12.020261870940011,16.833534679930178,12.02032030531294
-2.7551020408163267,16.788056943126875,12.020287411273557,16.786341851129073,12.020383534574558
-2.673469387755102,16.72178255662771,12.020316543545558,16.741407391242,12.02046176146802
-2.5918367346938775,16.657740973747394,12.02035352725136,16.69865521779232,12.020552335930557
-2.510204081632653,16.59652681352246,12.020396919478504,16.65800777693199,12.020663445022086
-2.428571428571429,16.538573639602777,12.020451644401657,16.61937727903927,12.020798876071563
-2.3469387755102042,16.484218404463434,12.020514820593052,16.582669604629412,12.020958696269265
-2.2653061224489797,16.433752075717447,12.020592035937796,16.54779339517161,12.021152139154339
-2.183673469387755,16.387410475123698,12.020685938731544,16.514652394164653,12.021388277408924
-2.1020408163265305,16.345383450714213,12.020794841225847,16.48316980308972,12.02167219284049
-2.020408163265306,16.30782991011476,12.020930377864856,16.45326353426846,12.02201416065865
-1.9387755102040818,16.27487167920761,12.021092183103752,16.424866073319723,12.022427668750355
-1.8571428571428572,16.246613495844056,12.021290208012143,16.39792503462188,12.02292552650234
-1.7755102040816328,16.223124531219376,12.021526796565343,18.159820977838926,12.023524968644473
-1.6938775510204083,16.204478631728584,12.02181178412603,16.3482107470862,12.024249364179354
-1.6122448979591837,16.19072262908545,12.022157958949936,17.045556064345472,12.025122888293712
-1.5306122448979593,16.181920424382213,12.022573795766514,16.52734010205421,12.026174572708179
-1.4489795918367347,16.17836446622489,12.023075293108345,16.03531555926257,12.027443721084541
-1.3673469387755104,16.18100022900701,12.023678980894156,15.569660415375914,12.028970063775798
-1.2857142857142858,16.19037920542054,12.0244082682046,15.13055792408506,12.03081004192192
-1.2040816326530615,18.051993386965094,12.025286230670885,14.71818773417802,12.03302590491615
-1.1224489795918369,17.203538619310372,12.026345409619116,14.33274893352549,12.035689395225791
-1.0408163265306123,16.422986549499406,12.027620310358232,13.974447608332188,12.038894877282228
-0.9591836734693877,15.680075519507408,12.029152811045968,13.643496284841438,12.042744147713968
-0.8775510204081636,14.945234860336615,12.030997543143332,13.340242315056855,12.047366202826307
-0.795918367346939,14.264679755311146,12.033212466687504,13.066747448852228,12.0529060797709
-0.7142857142857144,13.65577352188048,12.03587566743233,12.823915304902727,12.059536398412094
-0.6326530612244898,13.129525950868457,12.039069031921859,12.612120180440487,12.06746566424202
-0.5510204081632657,12.707729831028256,12.042895739362908,12.431780848550822,12.07692375332207
-0.4693877551020411,12.389483100299415,12.047470885565437,12.283369610162797,12.088177332958796
-0.38775510204081653,12.171583770888933,12.052931636071222,12.167407135448727,12.101528936428195
-0.30612244897959195,12.050384337731574,12.059429586284978,12.084479007840079,12.11731055822929
-0.22448979591836737,12.021664659994567,12.067137217764115,12.03522293346484,12.135887345666722
-0.14285714285714324,12.07313640572516,12.076244557804147,12.020313609660285,12.157639372723521
-0.06122448979591866,12.144034650957217,12.086950605810951,12.040450804107993,12.182958695752813
0.020408163265305923,12.213705062425992,12.099461827536533,12.096328457482588,12.21221280031785
0.1020408163265305,12.279001770244086,12.113973805420809,12.188601944849928,12.24573566460235
0.18367346938775464,12.338076899618713,12.130666774015438,12.308758418865715,12.283780846735956
0.2653061224489792,12.390167690427537,12.14965022398761,12.42466953249134,12.326473918187993
0.3469387755102038,12.443160751765621,12.170976671935673,12.531876140599012,12.373770466608761
0.4285714285714284,12.554607345627648,12.194665874255222,12.629210363575094,12.425405564935094
0.510204081632653,12.732597227571475,12.220592079666897,12.716077324019821,12.4808544193485
0.5918367346938771,12.972970922294458,12.248509601528774,12.792356363308656,12.539300129718352
0.6734693877551017,13.271586524319963,12.278058149859994,12.858326316417905,12.599657831971562
0.7551020408163263,13.624431919671437,12.308768172663962,12.927520218163888,12.660619569734877
0.8367346938775508,14.027704750996993,12.340093950934548,13.038120113852028,12.720755083891916
0.9183673469387754,14.477983108771895,12.37145751778803,13.200717512078043,12.778653854916403
1.0,14.972365660573928,12.402278236678976,13.417643426760485,12.833074276294862
