V1_0,beta1,beta2,beta3,gamma12,gamma21,gamma23,gamma32
2.101549205873711,-4.823857568012887,-4.309104574157411,-6.433648335805701,-0.2001538202583387,-3.044511436992593,-0.3342552597059288,-3.0818570838180865
1.9534046400645293,-4.82134218073863,-4.847509854187682,-6.479062679422301,-0.26806027672340105,-3.4476822489262227,0.01825696058124628,-3.4365627307659468
1.9958397490958986,-4.840186950847096,-4.177722526614038,-6.498885023002731,-0.25967005428760714,-1.1472606597450328,-0.15144046069525885,-1.644806555307036
2.3684027502096527,-4.8915969249299875,-6.353255278456072,-6.1992225012862905,-0.491892639043533,-3.190253518594412,-0.44551893125818687,-2.2698127660039438
2.799348083835702,-4.616896533758844,-6.072568463061403,-4.320742206852391,-2.5799312685470364,0.8823769111324361,-0.31109105621533534,1.0
2.390370509986969,-4.857560961424754,-5.193868077942695,-6.605072620141809,-0.20045217766576845,-2.3002409497121845,-0.10869147355186753,-1.8468992750566533
2.494902510596779,-4.869273482329823,-4.610917353845891,-6.410959205068953,-0.27292418141790986,-3.451393709077171,-0.19000004710811236,-2.8951060757430307
2.3396320949762233,-4.8616935697592085,-4.669565822134552,-6.453239175752295,-0.2982183254574897,-1.701866373813126,-0.1815702607101947,-1.372317354584426
2.4762268650859833,-4.850112571698903,-5.662292642460105,-6.407786727107791,-0.38218775453477755,-3.4125293537696706,-0.2234829478479993,-2.386309161370479
2.476153823552783,-4.868091860351088,-5.635792358840932,-6.313310300210608,-0.38364215532139634,-1.6655126420164283,-0.5282084489030787,-3.3234238758048873
1.9196289017343626,-4.807606157044086,-6.231927694182185,-6.645283826135028,-0.24226346415291675,-3.134018845519602,-0.02823977788236588,-2.904346800698496
2.6661530557521096,-4.896734195823164,-6.308243255425942,-6.237361526510759,-0.4105084127804778,-0.9004698472728263,-0.4973497816965394,-2.8385966804949847
1.9955916700018026,-4.824125624114403,-5.897740013430937,-6.678467732321738,-0.28038671641202373,-1.1737495763033656,0.2777147738512698,-1.7033930444091208
1.9682840173090161,-4.816157226698907,-5.712694498652244,-6.593173597882617,-0.26739518926882233,-3.611719935109082,-0.13955212695834618,-1.0968313079488576
1.8218997999306814,-4.782880732064213,-4.4297953010273,-6.333561735309032,-0.2868612328183877,-2.2412419543486233,-0.18932762533766678,-1.8722563672783994
1.8503641859335678,-4.80120517830087,-4.850143748837841,-6.724288449273286,-0.22258040110767852,-2.3541747409435136,-0.024068521984663038,-2.5387122669401894
2.162347192802582,-4.8330912719871595,-4.441784608367082,-6.778965508992754,-0.2510734317389519,-2.297108050819023,0.2640624095798587,-1.3114282843423346
2.4354394289215113,-4.847081114054421,-5.968881737562348,-6.305977731581009,-0.2966583652928497,-0.7497834406373953,-0.49596589335669683,-2.0306706824245806
2.3887563642810856,-4.837578138951335,-6.272826182502148,-6.278334802118847,-0.15722903526921822,-3.601220546699065,-0.7289946256762356,-3.4952551996366763
2.449557935315266,-4.888876518115908,-6.5308981491206834,-6.361917749741382,-0.381971067069236,-3.0170304068874554,-0.514602201582998,-1.2209721952914556
2.3051112759614396,-4.838355204175486,-4.367893162027835,-6.375846199774691,-0.2446447360876629,-2.120268369919871,-0.3908996114758847,-2.6748522200801075
3.0256129162463754,-4.706541335004678,-6.4135651396092,-4.363427268580403,-2.1867997885200148,0.9987683967616617,-0.4433407455306404,1.0
2.279563567841939,-4.6767970644586185,-6.434136254345671,-4.374518309550316,-1.2957694878744344,0.9173771254076483,-0.4542766714471024,1.0
2.2043399572292763,-4.810568157238981,-4.7021648068197175,-6.359375501632931,-0.16977868153366638,-3.0258150093807092,-0.5494442674489617,-1.1166704699471324
2.3452405076360683,-4.730043935191618,-6.641520803224402,-4.3371360150834875,-1.1607008105175725,1.0,-1.0717546036237198,0.9919640963672752
1.700008744354114,-4.790220227791835,-4.070098959702773,-6.697586592303388,-0.1486908297807104,-2.183636300201551,-0.16056704622962567,-1.7670811630052825
2.5033069887245722,-4.896966495752125,-6.540265546955014,-6.302759542710411,-0.20623415210686677,-2.9529318692266417,-0.5499037100849155,-3.5006037285248217
1.959894521035123,-4.826442456484326,-4.610172577586499,-6.8613019023935236,-0.13895895749765103,-2.7015888572660893,0.10126951664619077,-1.4325450830506008
2.05428904393155,-4.788241528246952,-6.060558918525915,-6.605445323106314,-0.08654204693869039,-1.2081012964468467,0.024368724268736486,-2.780457017553731
2.561866843203511,-4.88926336382343,-5.501092129211222,-6.391255504274341,-0.29496019538745166,-0.8111153343693143,-0.23868591992502552,-3.5400805701831954
2.1316478638491168,-4.849696127568453,-4.522430010534503,-6.518705942331861,-0.245220486104413,-3.736318225890164,-0.1515731919494039,-1.7161878884700694
2.3446596929338304,-4.8711261351041495,-5.653858591479766,-6.3354522390743355,-0.35443194220921315,-1.4712102855543323,-0.22481888761479255,-2.254105684176503
2.937871333088033,-4.91596183728226,-5.127588165468858,-6.199044309277681,-0.5646691913643298,-2.341608762341569,-0.4111482160587877,-1.0548976185567471
1.9200110508067652,-4.797832846038155,-6.667971408414451,-6.553218420800779,-0.22173316424828865,-2.7026613481164024,-0.051748916732199966,-3.5350191464586143
2.430177328102841,-4.603283026536788,-4.863908413353056,-4.398020222662192,-1.4996715635782432,0.9523106182127424,-0.9161270529384729,0.9941906425967035
2.3765367878343095,-4.843650013443825,-5.415582198887256,-6.397236330081175,-0.16689823907167048,-0.6855264272008407,-0.4479558022586579,-3.540062334474474
2.242237958732683,-4.852009840788462,-5.782145151042284,-6.404683211430979,-0.40486354036258376,-2.201578418580532,-0.13067242668486623,-2.3742189883428915
2.0676798713311846,-4.846822494413298,-5.253980736212772,-6.455914467357122,-0.34987764499742774,-3.0932373543004013,-0.32211651748114617,-1.7179810032033658
2.2210685510399726,-4.8386906611486795,-6.236032274998205,-6.394640534835963,-0.2574959621238613,-2.400300746530076,-0.23155481521290966,-2.507377496023927
2.588347556712515,-4.89806485182103,-4.028491404023743,-6.4103932386713325,-0.2721588752381434,-2.091442582043469,-0.33164736450744864,-2.698660575261448
2.640805830079118,-4.885528389019101,-5.558386681167196,-6.25291648970822,-0.19500742800236054,-1.7371442940504707,-0.7273021510200217,-3.0143627885849686
2.493798165156298,-4.837613093534284,-5.261629429312004,-6.227884790907158,-0.06206660334665697,-3.194357640232832,-0.8715251804268169,-2.973356297983259
2.490456866562017,-4.872459644746483,-6.838452942382347,-6.31427560287032,-0.2868222239302372,-2.674396601973568,-0.45837468269384224,-2.092478194402399
2.4010764538648917,-4.860306157077323,-5.62229874630015,-6.731663029637218,-0.28138324387364916,-1.7585719317360828,0.24316225727520993,-2.173088262398747
