V1_0,T_0,beta,xi,k,alpha,gamma12,gamma21,gamma23,gamma32,r,LRSS
120.09879735406886,1e-10,-4.828061963725473,-6.90391994984693,-10.0,-10.0,-0.30837201767097633,-2.063890974751566,0.04449800367343787,-3.7855748524707904,-10.0,12.410938812870281
120.09879735406886,1e-10,-5.46283446915797,-5.492917648943907,-10.0,-10.0,-0.30837201767097633,-2.063890974751566,0.04449800367343787,-3.7855748524707904,-10.0,12.410938812870281
120.09879735406886,1e-10,-6.845963625158144,-4.576823899465302,-10.0,-10.0,-0.30837201767097633,-2.063890974751566,0.04449800367343787,-3.7855748524707904,-10.0,12.410938812870281
