V1_0,T_0,beta,xi,k,alpha,gamma12,gamma21,gamma23,gamma32,r,LRSS
115.87503003667821,1e-10,-4.814853281851751,-10.0,-10.0,-10.0,-0.2931407859679371,-2.7053133743678304,-0.01990717537442027,-3.4613293157312346,-10.0,12.33550135311165
115.87503003667821,1e-10,-4.006999522184664,-10.0,-10.0,-10.0,-0.2931407859679371,-2.7053133743678304,-0.01990717537442027,-3.4613293157312346,-10.0,12.33550135311165
115.87503003667821,1e-10,-6.742086311552661,-10.0,-10.0,-10.0,-0.2931407859679371,-2.7053133743678304,-0.01990717537442027,-3.4613293157312346,-10.0,12.33550135311165
