V1_0,T_0,beta,delta,p,c,xi,k,alpha,phi,gamma12,gamma21,gamma23,gamma32,r,mu
217.4540541326587,1e-10,-4.851157056478443,-10.0,-10.0,-10.0,-4.857534568277755,-10.0,-1.5765159602688652,-10.0,-0.3128454784760501,-2.830085523199808,-0.7531727660135823,-2.6384191343153156,-10.0,-10.0
217.4540541326587,1e-10,-6.740072166992141,-10.0,-10.0,-10.0,-2.472466982063311,-10.0,-0.5199850984564364,-10.0,-0.3128454784760501,-2.830085523199808,-0.7531727660135823,-2.6384191343153156,-10.0,-10.0
217.4540541326587,1e-10,-5.25055699278107,-10.0,-10.0,-10.0,-3.306323864371453,-10.0,-0.09394110638661789,-10.0,-0.3128454784760501,-2.830085523199808,-0.7531727660135823,-2.6384191343153156,-10.0,-10.0
