V1_0,T_0,beta,delta,p,c,xi,k,alpha,phi,gamma12,gamma21,gamma23,gamma32,r,mu
120.97926926247312,1e-10,-4.828519719669156,-10.0,-10.0,-10.0,-0.7258566637941783,-10.0,-5.579829101649249,-10.0,-0.30220106087943005,-1.6992781607603746,-0.022254804456015433,-3.844690543130288,-10.0,-10.0
120.97926926247312,1e-10,-5.592987338410701,-10.0,-10.0,-10.0,-4.5517203967031685,-10.0,-4.414479107888618,-10.0,-0.30220106087943005,-1.6992781607603746,-0.022254804456015433,-3.844690543130288,-10.0,-10.0
120.97926926247312,1e-10,-6.73029043941215,-10.0,-10.0,-10.0,-3.0488848237378656,-10.0,-2.0276168236395606,-10.0,-0.30220106087943005,-1.6992781607603746,-0.022254804456015433,-3.844690543130288,-10.0,-10.0
